소품이름,무드,카테고리,사진,상세 제품 링크,Column
LILLTJÄRN 릴셰른,"minimal, modern, natural",거울,https://www.ikea.com/kr/ko/images/products/lilltjaern-mirror__1031301_pe836473_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/lilltjaern-mirror-40513786/,
STOCKHOLM 스톡홀름,"casual, natural, vintage",거울,https://www.ikea.com/kr/ko/images/products/stockholm-mirror-walnut-veneer__1091610_pe862535_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/stockholm-mirror-walnut-veneer-10446897/,
MALM 말름,"minimal, modern, vintage",테이블,https://www.ikea.com/kr/ko/images/products/malm-desk-black-brown__0684830_pe721280_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/malm-desk-black-brown-70361753/,
GRANBODA 그란보다,"individuality, minimal, useful",테이블,https://www.ikea.com/kr/ko/images/products/granboda-nest-of-tables-set-of-3__0836333_pe672714_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/granboda-nest-of-tables-set-of-3-70386683/,
LISABO 리사보,"minimal, natural, vintage",테이블,https://www.ikea.com/kr/ko/images/products/lisabo-table-ash-veneer__0744784_pe743396_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/lisabo-table-ash-veneer-80365717/,
SYNNERBY 쉰네르뷔,"individuality, modern, useful",거울,https://www.ikea.com/kr/ko/images/products/synnerby-tri-fold-mirror-grey__0956671_pe804760_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/synnerby-tri-fold-mirror-grey-00454374/,
LAGKAPTEN 락캅텐 / KRILLE 크릴레,"casual, minimal, useful",테이블,https://www.ikea.com/kr/ko/images/products/lagkapten-krille-desk-white__0976161_pe813054_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/lagkapten-krille-desk-white-s89417608/,
SVANSELE 스반셀레,"individuality, romantic, vintage",거울,https://www.ikea.com/kr/ko/images/products/svansele-mirror-gold-colour__1058683_ph179025_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/svansele-mirror-gold-colour-40437453/,
SLATTUM 슬라툼,"minimal, modern, useful",침대,https://www.ikea.com/ext/ingkadam/m/7df1123b1f3f8e80/original/PH166949-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/slattum-upholstered-bed-frame-knisa-light-grey-80446375/,
MYDAL 뮈달,"romantic, useful, vintage",침대,https://www.ikea.com/ext/ingkadam/m/991807d01cb80bc/original/PH167341-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/mydal-bunk-bed-frame-pine-00368772/,
SLATTUM 슬라툼,"individuality, minimal, modern",침대,https://www.ikea.com/ext/ingkadam/m/1e599a070fc2f724/original/PH161820-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/slattum-upholstered-bed-frame-knisa-light-grey-80446375/,
MALM 말름,"minimal, natural, useful",침대,https://www.ikea.com/ext/ingkadam/m/4bbadbafb9b52203/original/PH156545-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/malm-ottoman-bed-white-90404803/,
NORDLI 노르들리,"minimal, modern, useful",침대,https://www.ikea.com/ext/ingkadam/m/2d99adc5e2dd1f6a/original/PH165566-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/nordli-bed-frame-with-storage-white-00349854/,
IKORNNES 이코르네스,"casual, natural, useful",거울,https://www.ikea.com/kr/ko/images/products/ikornnes-table-mirror-ash__0665879_ph152876_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/ikornnes-table-mirror-ash-80306921/,
VANGSTA 방스타,"casual, modern, natural",테이블,https://www.ikea.com/kr/ko/images/products/vangsta-extendable-table-black-dark-brown__1049826_ph168778_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/vangsta-extendable-table-black-dark-brown-90420153/,
NEIDEN 네이덴,"casual, natural, romantic",침대,https://www.ikea.com/kr/ko/images/products/neiden-bed-frame-pine__0734539_pe739491_s5.jpg?f=xs,https://www.ikea.com/kr/ko/p/neiden-bed-frame-pine-90450357/,
ÄPPLARÖ 에플라뢰,"casual, natural, romantic",테이블,https://www.ikea.com/kr/ko/images/products/aepplaroe-drop-leaf-table-outdoor-brown-stained__0667537_pe713947_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/aepplaroe-drop-leaf-table-outdoor-brown-stained-20208532/,
SVANSELE 스반셀레,"casual, romantic, vintage",거울,https://www.ikea.com/ext/ingkadam/m/15d24bf628caecac/original/PH179511-crop001.jpg?f=xs,https://www.ikea.com/kr/ko/p/svansele-mirror-gold-colour-50479292/,
VANGSTA 방스타,"casual, modern, vintage",테이블,https://www.ikea.com/ext/ingkadam/m/6ba1580897683923/original/PH156604-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/vangsta-extendable-table-white-30361566/,
SVÄRTA 스베르타,"casual, modern, vintage",침대,https://www.ikea.com/ext/ingkadam/m/6ba1580897683923/original/PH156604-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/svaerta-loft-bed-frame-silver-colour-00247983/,
SÖNDERÖD 쇤데뢰드,"casual, modern, vintage",러그,https://www.ikea.com/ext/ingkadam/m/6ba1580897683923/original/PH156604-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/soenderoed-rug-high-pile-blue-80345847/,
SKÅDIS 스코디스,"casual, modern, vintage",잡화,https://www.ikea.com/ext/ingkadam/m/6ba1580897683923/original/PH156604-crop001.jpg?f=l,https://www.ikea.com/kr/ko/p/skadis-pegboard-white-30320806/,
KÄPPHÄST 솁헤스트,"casual, individuality, romantic",침구류,https://www.ikea.com/ext/ingkadam/m/2185281d5e0b3c96/original/PH167725-crop002.jpg?f=l,https://www.ikea.com/kr/ko/p/kaepphaest-duvet-cover-and-pillowcase-patchwork-toys-70455742/,
KÄPPHÄST 솁헤스트,"casual, individuality, romantic",침구류,https://www.ikea.com/ext/ingkadam/m/2185281d5e0b3c96/original/PH167725-crop002.jpg?f=l,https://www.ikea.com/kr/ko/p/kaepphaest-cushion-elephant-60455752/,
SUNDVIK 순드비크,"minimal, modern, useful",침대,https://www.ikea.com/ext/ingkadam/m/2185281d5e0b3c96/original/PH167725-crop002.jpg?f=l,https://www.ikea.com/kr/ko/p/sundvik-ext-bed-frame-with-slatted-bed-base-white-s39240339/,
FUBBLA 푸블라,"casual, modern, useful",조명,https://www.ikea.com/ext/ingkadam/m/2185281d5e0b3c96/original/PH167725-crop002.jpg?f=l,https://www.ikea.com/kr/ko/p/fubbla-led-wall-lamp-white-50381605/,
https://ohou.se/brands/home?query=%EB%8D%94%ED%94%84%EB%A6%AC%EA%B7%B8&affect_type=ProductSaleDetail&affect_id=813130,"individuality, romantic, useful",수납장,https://image.ohou.se/i/bucketplace-v2-development/uploads/cards/snapshots/164137547032095225.jpeg?gif=1&w=1536,https://ohou.se/productions/813130/selling,
BROR 브로르,"modern, natural, useful",잡화,https://www.ikea.com/ext/ingkadam/m/6dd1dd0c0228a731/original/PH165572-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/bror-trolley-black-pine-plywood-40333851/,
BUSUNGE 부숭에,"casual, individuality, useful",침대,https://www.ikea.com/kr/ko/images/products/busunge-extendable-bed-white__0877327_pe653601_s5.jpg?f=xl,https://www.ikea.com/kr/ko/p/busunge-extendable-bed-white-50351340/,
KALLAX 칼락스,"casual, minimal, useful",수납장,https://www.ikea.com/ext/ingkadam/m/35590d726e0648f7/original/PH165548-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/kallax-shelving-unit-white-60351882/,
STRANDMON 스트란드몬,"casual, romantic, useful",의자,https://www.ikea.com/ext/ingkadam/m/7c923e19aaaa90b5/original/PH168401-crop003.jpg?f=l,https://www.ikea.com/kr/ko/p/strandmon-childrens-armchair-vissle-grey-80392546/,
SUNDVIK 순드비크,"romantic, useful, vintage",의자,https://www.ikea.com/ext/ingkadam/m/7c923e19aaaa90b5/original/PH168401-crop003.jpg?f=l,https://www.ikea.com/kr/ko/p/sundvik-rocking-chair-white-60201741/,
SUNDVIK 순드비크,"modern, romantic, vintage",수납장,https://www.ikea.com/ext/ingkadam/m/7c923e19aaaa90b5/original/PH168401-crop003.jpg?f=l,https://www.ikea.com/kr/ko/p/sundvik-wardrobe-white-20368832/,
EKET 에케트,"minimal, modern, useful",수납장,https://www.ikea.com/ext/ingkadam/m/7c923e19aaaa90b5/original/PH168401-crop003.jpg?f=l,https://www.ikea.com/kr/ko/p/eket-wall-mounted-shelving-unit-w-4-comp-white-s69285821/,
RIBBA 리바,"casual, minimal, modern",잡화,https://www.ikea.com/ext/ingkadam/m/7c923e19aaaa90b5/original/PH168401-crop003.jpg?f=l,https://www.ikea.com/kr/ko/p/ribba-frame-white-60378424/,
베리나이스유,"casual, romantic, vintage",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/cards/projects/161146235648857760.jpg?gif=1&w=850,https://ohou.se/productions/700517/selling,
아르테미데,"individuality, minimal, modern",조명,https://image.ohou.se/i/bucketplace-v2-development/uploads/cards/snapshots/164135347807448952.jpeg?gif=1&w=850,https://ohou.se/productions/1028902/selling,
GRIMSÅS 그림소스,"casual, individuality, romantic",조명,https://www.ikea.com/ext/ingkadam/m/66233fac36591a37/original/PH159924-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/grimsas-pendant-lamp-white-60412833/,
NORDLI 노르들리,"minimal, modern, useful",침대,https://www.ikea.com/ext/ingkadam/m/66233fac36591a37/original/PH159924-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/nordli-bed-frame-with-storage-white-00349854/,
GODISHUS 고디스후스,"casual, individuality, useful",수납장,https://www.ikea.com/ext/ingkadam/m/7ed682d58b923420/original/PH164725-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/godishus-wardrobe-white-30433484/,
FUBBLA 푸블라,"minimal, modern, useful",조명,https://www.ikea.com/ext/ingkadam/m/7ed682d58b923420/original/PH164725-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/fubbla-led-wall-lamp-white-50381605/,
SKUBB 스쿠브,"casual, individuality, useful",수납장,https://www.ikea.com/ext/ingkadam/m/7ed682d58b923420/original/PH164725-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/skubb-storage-with-6-compartments-white-80245881/,
KURA 쿠라,"casual, individuality, useful",침대,https://www.ikea.com/ext/ingkadam/m/7ed682d58b923420/original/PH164725-crop001.jpg?f=xxxl,https://www.ikea.com/kr/ko/p/kura-reversible-bed-white-pine-40253811/,
GÄNGA 옝아,"individuality, romantic, vintage",잡화,https://www.ikea.com/ext/ingkadam/m/43e18ffcb5ed924c/original/PH167045-crop002.jpg?f=l,https://www.ikea.com/kr/ko/p/gaenga-alarm-clock-brass-colour-90398294/,
